ili_id	status	superseded_by	origin	used_by	definition
i41377	1		pwn-3.0:01140471-n	pwn-3.0:01140471-n;omw-sq-1.4:01140471-n;omw-arb-1.4:01140471-n;wnja-1.9.0:01140471-n;wnb_id-2.0:01140471-n;wnb_zsm-2.0:01140471-n	the act of granting authority to undertake certain functions
i41378	1		pwn-3.0:01140658-n	pwn-3.0:01140658-n;omw-arb-1.4:01140658-n;wnja-1.9.0:01140658-n;wnb_id-2.0:01140658-n;wnb_zsm-2.0:01140658-n	the commission that is given to a government and its policies through an electoral victory
i41379	1		pwn-3.0:01140839-n	pwn-3.0:01140839-n;omw-arb-1.4:01140839-n;wnja-1.9.0:01140839-n;wnb_id-2.0:01140839-n;wnb_zsm-2.0:01140839-n	authorizing subordinates to make certain decisions
i41380	1		pwn-3.0:01141160-n	pwn-3.0:01141160-n;omw-arb-1.4:01141160-n;wnja-1.9.0:01141160-n	the delegation of authority (especially from a central to a regional government)
i41381	1		pwn-3.0:01141366-n	pwn-3.0:01141366-n;wnja-1.9.0:01141366-n	formal authorization to get a loan (usually from a bank)
i41382	1		pwn-3.0:01141482-n	pwn-3.0:01141482-n;wnja-1.9.0:01141482-n	routine authorization of an action without questions
i41383	1		pwn-3.0:01141593-n	pwn-3.0:01141593-n;wnja-1.9.0:01141593-n;wnb_id-2.0:01141593-n;wnb_zsm-2.0:01141593-n	permission to proceed
i41384	1		pwn-3.0:01141729-n	pwn-3.0:01141729-n;wnja-1.9.0:01141729-n	formal permission to depart
i41385	1		pwn-3.0:01141841-n	pwn-3.0:01141841-n;omw-arb-1.4:01141841-n;wnja-1.9.0:01141841-n;wnb_id-2.0:01141841-n;wnb_zsm-2.0:01141841-n	the act of allowing
i41386	1		pwn-3.0:01142014-n	pwn-3.0:01142014-n;wnja-1.9.0:01142014-n	an exemption from some rule or obligation
i41387	1		pwn-3.0:01142150-n	pwn-3.0:01142150-n;wnja-1.9.0:01142150-n	an official dispensation to act contrary to a rule or regulation (typically a building regulation)
i41388	1		pwn-3.0:01142324-n	pwn-3.0:01142324-n;wnja-1.9.0:01142324-n	official recognition of the right of individuals to hold dissenting opinions (especially in religion)
i41389	1		pwn-3.0:01142519-n	pwn-3.0:01142519-n;wnja-1.9.0:01142519-n	management through specified channels of communication
i41390	1		pwn-3.0:01142843-n	pwn-3.0:01142843-n;wnja-1.9.0:01142843-n	the production of a canal or a conversion to canals
i41391	1		pwn-3.0:01143040-n	pwn-3.0:01143040-n;omw-sq-1.4:01143040-n;omw-arb-1.4:01143040-n;wnja-1.9.0:01143040-n;wnb_id-2.0:01143040-n;wnb_zsm-2.0:01143040-n	the activity of putting or setting in order in advance of some act or purpose
i41392	1		pwn-3.0:01143409-n	pwn-3.0:01143409-n;wnja-1.9.0:01143409-n	the distribution of forces in preparation for battle or work
i41393	1		pwn-3.0:01143580-n	pwn-3.0:01143580-n;wnja-1.9.0:01143580-n	preliminary preparation as a basis or foundation
i41394	1		pwn-3.0:01143760-n	pwn-3.0:01143760-n;wnja-1.9.0:01143760-n	the withdrawal and redistribution of forces in an attempt to use them more effectively
i41395	1		pwn-3.0:01143957-n	pwn-3.0:01143957-n;wnja-1.9.0:01143957-n	final preparation and adjustments
i41396	1		pwn-3.0:01144046-n	pwn-3.0:01144046-n;wnja-1.9.0:01144046-n	the act of making something ready
i41397	1		pwn-3.0:01144133-n	pwn-3.0:01144133-n;omw-arb-1.4:01144133-n;wnja-1.9.0:01144133-n;wnb_id-2.0:01144133-n;wnb_zsm-2.0:01144133-n	an act of formulating a program for a definite course of action
i41398	1		pwn-3.0:01144355-n	pwn-3.0:01144355-n;wnja-1.9.0:01144355-n	setting an order and time for planned events
i41399	1		pwn-3.0:01144555-n	pwn-3.0:01144555-n;wnja-1.9.0:01144555-n	act or process of unloading and loading and servicing a vessel or aircraft for a return trip
i41400	1		pwn-3.0:01144716-n	pwn-3.0:01144716-n;wnja-1.9.0:01144716-n	exercising in preparation for strenuous activity
i41401	1		pwn-3.0:01144876-n	pwn-3.0:01144876-n;omw-arb-1.4:01144876-n;wnja-1.9.0:01144876-n;wnb_id-2.0:01144876-n;wnb_zsm-2.0:01144876-n	the act of guiding or showing the way
i41402	1		pwn-3.0:01145015-n	pwn-3.0:01145015-n;omw-bg-1.4:01145015-n;wnja-1.9.0:01145015-n;wnb_id-2.0:01145015-n;wnb_zsm-2.0:01145015-n	a sudden and decisive change of government illegally or by force
i41403	1		pwn-3.0:01145219-n	pwn-3.0:01145219-n;wnja-1.9.0:01145219-n	a sudden and decisive overthrow of a government that gained power by a coup d'etat
i41404	1		pwn-3.0:01145359-n	pwn-3.0:01145359-n;omw-arb-1.4:01145359-n;wnja-1.9.0:01145359-n;wnb_id-2.0:01145359-n;wnb_zsm-2.0:01145359-n	the act of controlling by restraining someone or something
i41405	1		pwn-3.0:01145688-n	pwn-3.0:01145688-n;wnja-1.9.0:01145688-n;wnb_id-2.0:01145688-n;wnb_zsm-2.0:01145688-n	a figurative restraint
i41406	1		pwn-3.0:01145905-n	pwn-3.0:01145905-n;wnja-1.9.0:01145905-n	a depressing restraint
i41407	1		pwn-3.0:01146039-n	pwn-3.0:01146039-n;omw-arb-1.4:01146039-n;wnja-1.9.0:01146039-n;wnb_id-2.0:01146039-n;wnb_zsm-2.0:01146039-n	the act of restraining power or action or limiting excess
i41408	1		pwn-3.0:01146288-n	pwn-3.0:01146288-n;wnja-1.9.0:01146288-n	the act of limiting movement or making incapable of movement
i41409	1		pwn-3.0:01146576-n	pwn-3.0:01146576-n;omw-arb-1.4:01146576-n;wnja-1.9.0:01146576-n;wnb_id-2.0:01146576-n;wnb_zsm-2.0:01146576-n	the act of restraining of a person's liberty by confining them
i41410	1		pwn-3.0:01146768-n	pwn-3.0:01146768-n;wnja-1.9.0:01146768-n;wnb_id-2.0:01146768-n;wnb_zsm-2.0:01146768-n	the act of confining someone in a prison (or as if in a prison)
i41411	1		pwn-3.0:01146993-n	pwn-3.0:01146993-n;wnja-1.9.0:01146993-n	the act of confining prisoners to their cells (usually to regain control during a riot)
i41412	1		pwn-3.0:01147135-n	pwn-3.0:01147135-n;wnja-1.9.0:01147135-n;wnb_id-2.0:01147135-n	confinement to your own home
i41413	1		pwn-3.0:01147222-n	pwn-3.0:01147222-n;wnja-1.9.0:01147222-n	(law) confinement without legal authority
i41414	1		pwn-3.0:01147347-n	pwn-3.0:01147347-n;omw-bg-1.4:01147347-n;wnja-1.9.0:01147347-n;wnb_id-2.0:01147347-n;wnb_zsm-2.0:01147347-n	holding by the police
i41415	1		pwn-3.0:01147451-n	pwn-3.0:01147451-n;wnja-1.9.0:01147451-n	the act of containing; keeping something from spreading
i41416	1		pwn-3.0:01147676-n	pwn-3.0:01147676-n;wnja-1.9.0:01147676-n	a strategy of defense in cases of bioterrorism; vaccination only of people exposed and others who are in contact with them
i41417	1		pwn-3.0:01147950-n	pwn-3.0:01147950-n;wnja-1.9.0:01147950-n	the act of withholding or withdrawing some book or writing from publication or circulation
i41418	1		pwn-3.0:01148182-n	pwn-3.0:01148182-n;wnja-1.9.0:01148182-n	severely repressive actions
i41419	1		pwn-3.0:01148283-n	pwn-3.0:01148283-n;wnja-1.9.0:01148283-n	the imposition of order or discipline
i41420	1		pwn-3.0:01148398-n	pwn-3.0:01148398-n;wnja-1.9.0:01148398-n	imposition again
i41421	1		pwn-3.0:01148491-n	pwn-3.0:01148491-n;wnja-1.9.0:01148491-n	any act that tends to prevent free competition in business
i41422	1		pwn-3.0:01148614-n	pwn-3.0:01148614-n;wnja-1.9.0:01148614-n;wnb_id-2.0:01148614-n;wnb_zsm-2.0:01148614-n	the act of keeping something within specified bounds (by force if necessary)
i41423	1		pwn-3.0:01148904-n	pwn-3.0:01148904-n;wnja-1.9.0:01148904-n;wnb_id-2.0:01148904-n;wnb_zsm-2.0:01148904-n	restriction imposed by the government on documents or weapons that are available only to certain authorized people
i41424	1		pwn-3.0:01149115-n	pwn-3.0:01149115-n;wnja-1.9.0:01149115-n	reduction or removal by the government of restrictions on a classified document or weapon
i41425	1		pwn-3.0:01149303-n	pwn-3.0:01149303-n;wnja-1.9.0:01149303-n	a restriction that is insisted upon as a condition for an agreement
i41426	1		pwn-3.0:01149480-n	pwn-3.0:01149480-n;wnja-1.9.0:01149480-n	the act of circumscribing
i41427	1		pwn-3.0:01149621-n	pwn-3.0:01149621-n;wnja-1.9.0:01149621-n;wnb_id-2.0:01149621-n;wnb_zsm-2.0:01149621-n	the act of constraining; the threat or use of force to control the thoughts or behavior of others
i41428	1		pwn-3.0:01149793-n	pwn-3.0:01149793-n;wnja-1.9.0:01149793-n	restrictions placed on the immature
i41429	1		pwn-3.0:01149911-n	pwn-3.0:01149911-n;wnja-1.9.0:01149911-n;wnb_zsm-2.0:01149911-n	the action or process of compressing
i41430	1		pwn-3.0:01150096-n	pwn-3.0:01150096-n;wnja-1.9.0:01150096-n	decrease in the diameter of blood vessels
i41431	1		pwn-3.0:01150200-n	pwn-3.0:01150200-n;omw-arb-1.4:01150200-n;wnja-1.9.0:01150200-n;wnb_id-2.0:01150200-n;wnb_zsm-2.0:01150200-n	act of depriving someone of food or money or rights
i41432	1		pwn-3.0:01150467-n	pwn-3.0:01150467-n;wnja-1.9.0:01150467-n	the act of making someone poor
